event,market,asin,sku,fulfillment,wk_2025-09-15,wk_2025-09-22,wk_2025-09-29,wk_2025-10-06
pbdd,US,B084RQKLV8,AH-HLKITA,FBA,10357,10520,10989,12643
pbdd,US,B07SHJVK4G,AH-TRKITA,FBA,6473,4345,3858,4011
pbdd,US,B0F45C2YHV,AH-RCTIRE10A,FBA,3306,2903,4484,6149
pbdd,US,B0B94G13CN,AH-RCPAINTA,FBA,2771,2479,2950,4927
pbdd,US,B0DJMW6283,AH-MICRTOWEL12A,FBA,966,831,1355,1894
pbdd,CA,B084RQKLV8,AH-HLKITA,FBA,960,853,861,905
pbdd,US,B0CQN1RXYB,AH-GLASSCOATA,FBA,501,664,635,793
pbdd,US,B0DKVZRX69,AH-RCINT14A,FBA,505,380,414,766
pbdd,US,B07SHJVK4G,AH-TRKIT,FBM,1152,113,1,0
pbdd,CA,B0F45C2YHV,AH-RCTIRE10A,FBA,220,226,210,201
pbdd,CA,B07SHJVK4G,AH-TRKITA,FBA,175,254,214,210
pbdd,US,B0C4QX35KX,AH-TRPROAUPC,FBA,70,209,201,182
pbdd,CA,B0CQN1RXYB,AH-GLASSCOATA,FBA,153,122,117,139
pbdd,US,B0CN8HJSYM,AH-PROPAINTKITA,FBA,121,107,121,151
pbdd,US,B0DVB4P9KQ,AH-VEHSHAM16A,FBA,105,76,102,188
pbdd,US,B0DVV6K9Y6,AH-VEHSHAM32A,FBA,86,68,73,221
pbdd,US,B08FF6X75N,AH-828A,FBA,95,91,100,95
pbdd,CA,B0B94G13CN,AH-RCPAINTA,FBA,85,99,94,83
pbdd,US,B0DKVBTNNT,AH-RCINT14-2PA,FBA,74,58,52,47
pbdd,US,B0DH5HKH5R,AH-SPONGE3A,FBA,31,44,58,85
pbdd,US,B0C4QX35KX,AH-TRPRO,FBM,187,10,0,0
pbdd,US,B0DH5ZC1N4,AH-FOAMAPP3,FBA,21,47,54,59
pbdd,US,B0F8JJM54R,AH-CLAYMITTA,FBA,42,48,25,25
pbdd,US,B0F3G1V5SF,AH-813A,FBA,48,0,30,53
pbdd,US,B08DDGFXPK,AH-810A,FBA,50,1,25,48
pbdd,US,B084RQKLV8,AH-HLKIT,FBM,70,23,11,13
pbdd,US,B08DDJ49X7,AH-811A,FBA,22,27,26,35
pbdd,CA,B0DKVZRX69,AH-RCINT14A,FBA,29,13,22,19
pbdd,US,B0F2JBJXYJ,AH-RCACA,FBA,11,10,7,10
pbdd,US,B0C4ZV53DR,AHW-104G,FBM,15,9,9,4
pbdd,US,B0F3G1V5SF,AH-813,FBM,1,16,17,0
pbdd,US,B08DDGFXPK,AH-810,FBM,1,17,11,2
pbdd,US,B0C4ZVMRRK,AH-RCPAINTQA,FBA,0,0,3,18
pbdd,US,B0CXKPY6B8,AH-HLPRO10,FBM,3,3,4,9
pbdd,CA,B0DVB4P9KQ,AH-VEHSHAM16A,FBA,8,3,4,3
pbdd,US,B0C4ZVMRRK,AHW-104Q,FBM,0,0,14,0
pbdd,CA,B08DDGFXPK,AH-810,FBM,3,5,2,4
pbdd,US,B08FF6X75N,AH-828,FBM,1,0,0,9
pbdd,US,B0B94G13CN,AH-RCPAINT,FBM,8,0,0,0
pbdd,US,B0C4ZVMRRK,AH-RCPAINT-Q,FBM,0,0,3,2
pbdd,US,B0DVB4P9KQ,AH-VEHSHAM16,FBM,1,2,0,2
pbdd,US,B0F2BFSMZT,AH-BNDL-PROA,FBA,3,0,2,0
pbdd,US,B0DVV6K9Y6,AH-VEHSHAM32,FBM,1,0,2,1
pbdd,US,B0CN8MFBLH,AH-PROPAINT12,FBM,2,1,0,0
pbdd,US,B0F3G9BC3G,AH-BNDL-FNDTNA,FBA,1,1,1,0
pbdd,US,B0CN8HJSYM,AH-PROPAINTKIT,FBM,0,1,0,1
pbdd,US,B0DH5HKH5R,AH-SPONGE3,FBM,1,0,1,0
pbdd,US,B0F23KPC5G,AH-BNDL-ALLIN,FBM,0,2,0,0
pbdd,US,B0F3GD9G6N,AH-BNDL-FLCVR,FBM,1,0,0,1
pbdd,CA,B0F2JKWWMM,AH-BNDL-RESTOR,FBM,2,0,0,0
pbdd,US,B0F45C2YHV,AH-RCTIRE10,FBM,0,1,0,0
pbdd,CA,B0F2BFSMZT,AH-BNDL-PRO,FBM,1,0,0,0
pbdd,CA,B0F2JBJXYJ,AH-RCAC,FBM,0,0,0,1
pbdd,CA,B0F2JBJXYJ,AH-RCACA,FBA,0,1,0,0
