market,asin,sku,fba,transfer,inbound,units30,vel,doc,ad30,risk,spending_low,name
US,B08DDGFXPK,AH-810A,0,0,0,245,8.17,0,0,urgent,false,
US,B08FF6X75N,AH-828A,0,0,0,1000,33.33,0,0,urgent,false,
US,B0CN8MFBLH,AH-PROPAINT12,0,0,0,5,0.17,0,38.66,urgent,true,Pro Ceramic Coating for Cars 360 ml Kit
US,B0CXKPY6B8,AH-HLPRO10,0,0,0,15,0.5,0,0,urgent,false,"Headlight Restoration Pro Kit, 10 Vehicle"
US,B0DKVBTNNT,AH-RCINT14-2PA,0,0,0,79,2.63,0,0,urgent,false,
US,B0F2BFSMZT,AH-BNDL-PRO,0,0,0,1,0.03,0,0,urgent,false,"Ceramic Coating Kit for Cars, 5 Piece"
US,B0F2JL4F2W,AH-BNDL-COREA,0,0,0,11,0.37,0,7.93,urgent,true,
US,B0F3GD9G6N,AH-BNDL-FLCVR,0,0,0,8,0.27,0,128.54,urgent,true,"Car Detailing Bundle, Fully Covered, 8 Piece"
US,B0HCR5GFYG,AH-PRORV12,0,0,0,1,0.03,0,0,urgent,false,"Pro Ceramic Coating for RVs, 360 ml Kit"
US,B0GYBH76BR,AH-PROWHLKITA,6,0,0,90,3,2,238.23,urgent,true,
US,B0H1NM7467,AH-RCPL-QA,24,6,0,314,10.47,2.3,0,urgent,false,
US,B0CN8HJSYM,AH-PROPAINTKITA,48,0,0,529,17.63,2.7,6054.78,urgent,true,PRO PAINT
US,B0FYRJ1966,AH-RCPL-B14A,687,285,0,4096,136.53,5.0,8642.51,urgent,true,PLASTIC
US,B0H1NP4461,AH-RCPV14A,27,88,0,158,5.27,5.1,0,urgent,false,
US,B084RQKLV8,AH-HLKITA,21149,1314,0,42212,1407.07,15.0,60678.7,watch,true,HL
US,B0B94G13CN,AH-RCPAINTA,2626,1441,0,4838,161.27,16.3,9854.33,watch,true,RC PAINT
US,B0DH5HKH5R,AH-SPONGE3A,180,34,0,303,10.1,17.8,0,watch,false,
US,B0CQN1RXYB,AH-GLASSCOATA,865,38,0,1308,43.6,19.8,2455.8,watch,true,GLASS
US,B0C4QX35KX,AH-TRPROAUPC,394,0,0,555,18.5,21.3,0,watch,false,
US,B0DH5ZC1N4,AH-FOAMAPP3,152,255,0,193,6.43,23.6,0,watch,false,
US,B0FW6WFX4D,AH-RCWHL14A,491,5,0,582,19.4,25.3,218.91,watch,true,WHEEL
